"numero_dpe","date_etablissement_dpe","etiquette_dpe","type_batiment","surface_habitable_logement","adresse_ban","type_energie_n1","conso_chauffage_ef","conso_ecs_ef","conso_refroidissement_ef","conso_eclairage_ef","conso_auxiliaires_ef","conso_chauffage_ep","conso_ecs_ep","conso_refroidissement_ep","conso_eclairage_ep","conso_auxiliaires_ep","cout_chauffage","cout_ecs","cout_refroidissement","cout_eclairage","cout_auxiliaires","type_dpe"
"2501N1309727R","2025-04-15","B","appartement",87.9,"1470 Avenue de Lyon 01960 Péronnas","Gaz naturel",1750.2,1738.4,0,64.6,0,1761.2,1750.9,0,148.5,0,231.5,230.2,0,186,0,"existant"
"2501N1462025H","2025-04-29","B","appartement",35.9,"11 boulevard paul bert 01000 Bourg-en-Bresse","Réseau de Chauffage urbain",780.7,1618.3,0,72.7,29.1,780.7,1618.3,0,167.1,66.9,69.6,144.4,0,25.2,10.1,"existant"
"2501N1462058O","2025-04-29","B","appartement",36.5,"11 boulevard paul bert 01000 Bourg-en-Bresse","Réseau de Chauffage urbain",842.1,1630.6,0,73.9,29.6,842.1,1630.6,0,169.9,68,75.1,145.5,0,25.7,10.3,"existant"
"2501N1233011B","2025-04-09","A","maison",150.9,"Chemin du Carlet 01800 Meximieux","Électricité",1488,1185.8,0,441.8,0,3422.4,2727.2,0,1016,0,357.4,284.8,0,106.1,0,"existant"
"2501N1277440W","2025-04-13","A","maison",90.3,"Lotissement le Clos de Laval 01380 Bâgé-Dommartin","Électricité",1073.4,586.3,0,171.4,36.1,2468.8,1348.5,0,394.2,83,291,159,0,46,10,"existant"
"2501N1462049F","2025-04-29","A","appartement",69.4,"11 boulevard paul bert 01000 Bourg-en-Bresse","Réseau de Chauffage urbain",1644.5,2128.2,0,140.5,56.2,1644.5,2128.2,0,323.1,129.2,146.7,189.9,0,48.8,19.5,"existant"
"2501N1375646A","2025-04-22","A","maison",87.7,"Impasse de la Fregoniere 01560 Mantenay-Montlin","Électricité",1551.5,766.5,0,39.6,0,3568.3,1763,0,91,0,389.7,192.5,0,157.5,0,"existant"
"2501N1462001J","2025-04-29","A","appartement",39.7,"11 boulevard paul bert 01000 Bourg-en-Bresse","Électricité",733.4,1696,0,80.4,32.1,733.4,1696,0,184.8,73.9,65.4,151.3,0,27.9,11.2,"existant"
"2501N1143411X","2025-04-02","A","maison",109.9,"Chemin des Montelieres 01700 Saint-Maurice-de-Beynost","Électricité",1494.6,670.4,0,175.8,33,3437.7,1541.9,0,404.4,75.8,380,170,0,45,8,"existant"
"2501N1309739D","2025-04-15","B","appartement",76.1,"Avenue de Lyon 01960 Péronnas","Gaz naturel",1928.9,1638.1,0,55.9,0,1941.1,1649.9,0,128.6,0,255.1,216.9,0,161,0,"existant"
"2501N1148235L","2025-04-02","A","maison",86.8,"Chemin de beybleu 01090 Francheleins","Électricité",1527.7,442.7,0,164.9,0,3513.7,1018.2,0,379.3,0,397,115,0,43,0,"existant"
"2501N1375632M","2025-04-22","B","maison",154.4,"Impasse de la Fregoniere 01560 Mantenay-Montlin","Électricité",2893.8,2457,0,254.8,0,6655.7,5651.1,0,586,0,783,665,0,69,0,"existant"
"2501N1462052I","2025-04-29","B","appartement",32.8,"11 boulevard paul bert 01000 Bourg-en-Bresse","Électricité",876.3,1555,0,66.4,26.6,876.3,1555,0,152.7,61.1,78.2,138.7,0,23.1,9.2,"existant"
"2501N1309765D","2025-04-15","B","appartement",72.8,"1470 Avenue de Lyon 01960 Péronnas","Gaz naturel",1571.6,1610.1,0,53.5,0,1581.5,1621.6,0,123,0,207.8,213.2,0,154,0,"existant"
"2501N1432981F","2025-04-27","A","maison",99.6,"Rue de Chene 01300 Peyrieu","Électricité",886.4,508,0,189.2,19.9,2038.8,1168.3,0,435.3,45.8,250,143,0,53,6,"existant"
"2501N1309704U","2025-04-15","B","appartement",72.8,"1470 Avenue de Lyon 01960 Péronnas","Gaz naturel",1258.4,1610.1,0,53.5,0,1266.3,1621.6,0,123,0,166.4,213.2,0,154,0,"existant"
"2501N1309735Z","2025-04-15","B","appartement",72.5,"1470 Avenue de Lyon 01960 Péronnas","Gaz naturel",1224.8,1607.5,0,53.3,0,1232.5,1619.1,0,122.5,0,162,212.8,0,153.4,0,"existant"
"2501N1453143R","2025-04-28","C","appartement",72.4,"Grande Rue 01580 Izernore","Gaz naturel",3119.4,2325.9,0,56.1,10.5,3145.4,2325.9,0,129,24.2,405.1,298.8,0,161.6,30.3,"existant"
"2501N1343651L","2025-04-17","A","maison",84.6,"Route de la Carriaz 01150 Villebois","Électricité",1260.5,558.4,152.3,169.2,101.5,2899.2,1284.2,350.2,389.2,233.5,327.8,145.2,39.6,44,26.4,"existant"
"2501N1462017Z","2025-04-29","A","appartement",69.4,"11 boulevard paul bert 01000 Bourg-en-Bresse","Électricité",1651.2,2128.2,0,140.5,56.2,1651.2,2128.2,0,323.1,129.2,147.3,189.9,0,48.8,19.5,"existant"
"2501N1260908A","2025-04-11","A","maison",82,"Route de la Poterie 01300 Magnieu","Électricité",836.4,483.8,0,164,24.6,1923.7,1112.7,0,377.2,56.6,241,139,0,47,7,"existant"
"2501N1324966U","2025-04-16","A","maison",79.3,"Route des Chevres 01570 Feillens","Électricité",942.5,538.6,0,150.5,23.8,2167.7,1238.7,0,346.1,54.6,265,151,0,42,7,"existant"
"2501N1209364O","2025-04-07","A","maison",73,"296 Avenue du Marquet 01090 Francheleins","Électricité",759.2,547.5,0,131.4,51.1,1746.2,1259.3,0,302.2,117.5,220,159,0,38,15,"existant"
"2501N1462051H","2025-04-29","B","appartement",41,"11 boulevard paul bert 01000 Bourg-en-Bresse","Réseau de Chauffage urbain",1442.7,1722.5,0,83,33.2,1442.7,1722.5,0,190.9,76.3,128.7,153.7,0,28.8,11.5,"existant"
"2501N1309757V","2025-04-15","C","appartement",72.8,"Avenue de Lyon 01960 Péronnas","Gaz naturel",2363.4,1610.1,0,53.5,0,2378.3,1621.6,0,123,0,312.6,213.2,0,154,0,"existant"
"2501N1225410S","2025-04-08","A","maison",133.1,"Impasse du Village 01190 Saint-Bénigne","Électricité",1397.6,665.5,0,239.6,66.6,3214.4,1530.7,0,551,153.1,355,169,0,61,17,"existant"
"2501N1222611B","2025-04-07","A","maison",185,"Chemin du Petit Corgenon 01310 Buellas","Électricité",1850,869.5,277.5,314.5,0,4255,1999.9,638.3,723.4,0,442,208,66,75,0,"existant"
"2501N1462059P","2025-04-29","B","appartement",55.3,"11 boulevard paul bert 01000 Bourg-en-Bresse","Électricité",1744.7,1966.9,0,111.9,44.8,1744.7,1966.9,0,257.4,103,155.6,175.5,0,38.9,15.5,"existant"
